code,name,종가,등락률,가격변화,점수,회전율,전일대비,가속도,최근5분
475830,오름테라퓨틱,25900,-5.13,-1.15,94.36,24.36,4.34,3.59,1391000000
020120,키다리스튜디오,7530,-10.25,-1.57,93.8,20.53,4.4,3.71,582000000
417840,저스템,16190,8.29,1.38,91.76,25.47,4.13,4.16,940000000
232140,와이씨,15130,6.18,-1.24,90.98,129.92,4.11,2.21,16255000000
074600,원익QnC,28950,0.7,0.35,90.06,6.83,4.77,4.78,521000000
067310,하나마이크론,47400,5.8,1.07,89.39,47.18,4.14,1.61,14886000000
0198A0,KIWOOM 코스닥150커버드콜액티브,8710,0.35,0.0,88.74,54.78,4.44,1.24,439000000
310210,보로노이,152900,-1.1,-0.84,87.91,4.91,4.72,6.06,1400000000
462860,더즌,3100,0.0,-0.16,84.36,13.64,4.06,3.4,303000000
138080,오이솔루션,27925,2.48,-2.02,83.72,18.43,4.07,2.3,641000000
417200,LS머트리얼즈,13710,-0.29,-0.15,83.27,7.9,4.17,1.5,731000000
120110,코오롱인더,55800,-2.28,-0.71,82.04,2.35,4.44,3.13,394000000
073240,금호타이어,6840,0.88,-0.15,79.69,1.88,4.57,4.67,369000000
420770,기가비스,118400,7.73,2.42,79.5,6.95,4.11,1.53,1038000000
095610,테스,152000,1.6,0.4,77.93,3.0,4.16,1.8,881000000
043260,성호전자,27000,0.56,-0.55,77.77,24.87,4.03,3.09,5039000000
025980,아난티,5460,4.8,0.92,77.74,16.13,4.09,1.17,857000000
332570,PS일렉트로닉스,9000,-3.23,-0.44,76.73,17.32,4.06,1.32,716000000
204270,제이앤티씨,25400,0.79,1.2,75.53,3.61,4.09,1.98,524000000
125490,한라캐스트,12550,-0.4,-0.16,75.5,13.44,4.11,0.93,618000000
031980,피에스케이홀딩스,161800,-4.82,-1.04,74.78,3.36,4.13,1.44,1177000000
080220,제주반도체,78100,3.86,0.9,74.13,10.46,4.03,2.49,2811000000
321370,센서뷰,1773,4.73,-3.8,73.83,173.14,4.17,0.43,2201000000
281820,케이씨텍,79500,3.11,0.89,73.63,3.62,4.06,2.58,570000000
004370,농심,393500,-0.25,0.51,73.6,1.29,4.24,3.36,309000000
098460,고영,29200,2.46,0.52,73.41,8.97,4.02,4.84,1786000000
426030,TIME 미국나스닥100액티브,48515,1.18,0.06,72.46,4.07,4.07,1.48,1083000000
298380,에이비엘바이오,52800,-2.04,-0.38,71.76,1.45,4.19,1.98,430000000
278470,에이피알,365500,-0.14,0.55,71.03,1.75,4.1,2.7,2401000000
274090,켄코아에어로스페이스,13120,7.01,-3.46,71.01,282.7,4.12,0.33,5140000000
