code,거래대금,거래량,종가
001820,5395.0,3938541,137400
386380,3523.0,12555969,25550
024060,2209.0,13851325,14610
356680,2086.0,14326815,16060
003350,1830.0,11741383,15710
046970,1762.0,23368742,7190
006360,1301.0,3377542,38500
203650,1290.0,51119007,2620
0011A0,1278.0,9460865,13100
032820,1232.0,8648528,14050
475150,1133.0,2137994,51900
069540,997.0,25185867,3870
053260,904.0,10643071,7870
066970,1117.0,928192,120000
000990,1336.0,1231215,105800
004310,770.0,7655651,9820
403870,748.0,1391096,53300
319660,979.0,800472,123000
248170,740.0,2335369,25700
095610,737.0,508486,143500
222800,1261.0,966655,131200
012210,705.0,5666332,12290
010170,698.0,4899515,14150
353200,661.0,666165,100000
007540,632.0,955382,57500
082740,961.0,1919071,50300
080220,617.0,814322,75200
375500,569.0,666472,85800
426030,506.0,1134701,44850
067290,504.0,13672662,3515
052710,498.0,3396316,15130
488280,1738.0,12190239,14850
092790,484.0,3287526,14380
126730,483.0,2214114,21300
446540,482.0,5420721,8430
003280,471.0,23903877,1878
0015N0,462.0,4128910,10590
161890,717.0,510319,141300
483650,697.0,415942,167600
417840,454.0,2859976,15720
226950,700.0,666925,109300
327260,439.0,1022670,43600
443670,428.0,9832164,4725
456010,416.0,2436234,17200
440110,404.0,567409,68500
336260,970.0,1987614,48800
058610,670.0,704889,96800
083650,851.0,1252579,68400
187660,371.0,4632443,8290
119850,875.0,1692238,50600
112610,347.0,657728,52800
017900,346.0,4177038,7900
001210,343.0,2816957,12450
257720,531.0,1219626,43500
0039P0,335.0,3429373,9450
217820,330.0,11068180,2820
089030,330.0,703180,46350
044490,1595.0,3947730,39350
322000,320.0,233134,133800
130660,319.0,2297410,13570
067310,319.0,916495,34400
093370,316.0,2370935,13310
224060,310.0,2862987,9890
089970,439.0,908790,48650
098460,296.0,1064886,27650
457370,292.0,3355763,8400
252990,289.0,1882711,15780
332570,284.0,3612947,7750
204270,283.0,1228197,22950
437730,1014.0,2481797,42300
131970,427.0,495796,83800
095340,320.0,167435,190200
031980,354.0,226903,157000
002990,255.0,1717134,14710
004090,250.0,1861155,12330
043260,249.0,1422677,17480
123690,239.0,3420495,6610
382900,699.0,2712286,25050
034220,227.0,2575347,8900
064550,896.0,8782921,9970
115440,227.0,2566771,8300
032940,225.0,2190662,9600
218410,395.0,808866,48800
241710,280.0,224396,125700
115500,213.0,2112362,9950
020150,303.0,714337,42200
347850,202.0,428347,47550
138930,241.0,1509227,15930
317400,201.0,1852774,11330
084370,241.0,180380,131500
001450,265.0,514529,51300
079650,193.0,2531106,7160
069660,190.0,174823,109440
036540,190.0,2692620,7040
120110,261.0,457549,57400
042510,183.0,1885744,9380
323280,327.0,695175,46650
294400,176.0,123106,143780
232140,175.0,1492213,11550
030530,174.0,773566,22350
475040,173.0,4488666,3795
028670,173.0,2846482,6030
452450,169.0,3129968,5300
004020,259.0,771357,33600
023530,194.0,172797,112000
454910,163.0,229638,71500
356860,304.0,829614,37900
178320,159.0,448159,35750
064290,159.0,326693,48850
098120,159.0,296696,55800
005690,158.0,1428105,11260
141080,234.0,277175,85200
008930,235.0,451186,50300
006340,142.0,1072584,13190
0182R0,141.0,1332899,10630
009420,200.0,399532,50100
041510,209.0,249008,84000
189330,136.0,1166620,11540
320000,134.0,1185917,10520
103590,259.0,368376,71000
090460,437.0,2257488,19020
348340,133.0,696348,19020
459510,287.0,1690498,17820
011170,193.0,295721,65500
457190,186.0,288321,64100
100590,124.0,2530890,4750
101490,201.0,487409,41400
073240,289.0,3863297,7370
413630,123.0,2851647,4240
166090,160.0,306465,52200
025980,121.0,2253911,5370
361610,176.0,1041428,16690
354320,120.0,306013,39850
000250,187.0,116110,160700
387690,118.0,650875,17110
046120,117.0,1900098,6070
028300,204.0,647237,31450
420770,149.0,159635,93800
005090,176.0,291971,61200
059090,321.0,1611519,20600
0007C0,115.0,635900,17250
011230,114.0,3986402,2640
0220W0,112.0,1754290,6260
087010,194.0,133018,146000
069960,139.0,140386,99000
183300,181.0,659547,27300
051600,168.0,342550,49300
0183V0,108.0,905100,11990
290650,146.0,308489,47450
336370,164.0,1901691,8510
950260,106.0,669289,15450
078600,149.0,175047,85000
001040,125.0,98058,128300
477850,104.0,469459,23300
181710,151.0,263273,56400
011790,201.0,225251,89600
376900,272.0,887846,31300
048410,99.3,1464558,6700
263750,146.0,414018,35300
189860,98.7,1761315,5220
022100,140.0,641263,22150
452190,97.8,1940710,5080
014950,97.2,1197510,7910
281820,181.0,263766,67900
439090,332.0,1996713,16400
0043Y0,96.5,519272,18690
006110,167.0,275102,59800
204320,96.1,194168,49750
062970,93.4,4627810,1990
014620,154.0,440446,34300
161580,202.0,625372,32050
071970,161.0,309451,52500
003160,165.0,547314,29950
033790,89.1,1181114,7600
411080,89.1,1742826,5510
263860,88.1,521807,16950
005290,168.0,410282,40800
009470,86.9,338766,24600
011780,103.0,82897,124900
105840,85.8,554565,15480
0155E0,85.3,633000,13450
122640,85.2,283766,30050
023160,139.0,490222,28300
078340,121.0,340511,35000
073010,83.3,2349948,3570
035900,117.0,295673,39350
389500,83.0,205386,40350
100090,83.0,655086,12480
019210,82.1,608911,13220
012630,101.0,356556,28450
065170,81.6,3231004,2720
003010,80.4,852199,9450
033160,80.3,630231,13050
425420,121.0,211583,55800
124500,181.0,579231,32100
117580,79.4,1031206,7330
298380,146.0,220734,66100
088980,77.7,790862,9790
096530,139.0,440276,31550
319400,76.5,352516,21650
149950,76.3,760190,10330
121600,93.4,197210,47250
192650,75.6,1168949,6390
237690,104.0,115839,90000
023590,132.0,325426,40700
018880,73.4,2099180,3520
456600,72.6,129347,56415
005860,72.2,2801603,2470
123330,71.9,278848,26150
000370,71.9,841895,8420
234340,71.1,316179,22600
0015B0,71.1,399336,17905
126640,71.0,1762941,3965
450080,70.2,193192,36300
140410,69.7,97806,72100
271560,79.9,67360,119300
019170,428.0,4127408,10020
950160,68.4,403546,16850
195940,84.3,205786,40700
213420,87.7,283206,30850
102710,85.1,207569,41350
137400,184.0,601721,29600
294870,95.5,387222,24850
322510,65.7,1232804,5280
086450,103.0,519702,19850
006650,92.8,91142,102200
050890,65.3,754960,8600
214150,90.5,284403,32050
036460,98.3,267579,37000
310210,95.1,65262,145100
441270,250.0,3017030,8290
0015S0,62.0,775314,7900
122870,78.8,180877,43400
103140,111.0,143433,77500
077970,122.0,488238,24800
004770,60.7,2758483,2125
399720,98.5,237958,40950
439960,60.1,496990,12010
100840,170.0,447521,37800
054920,59.7,1496654,3940
097950,79.5,44293,179700
077360,58.3,579485,10030
462900,58.1,447115,13050
012750,62.5,77157,81400
417030,57.7,198847,28700
004710,57.5,662526,8850
210980,57.4,1294513,4090
347700,56.6,281662,20050
090710,56.0,898683,6200
