code,name,종가,등락률,거래대금
005930,삼성전자,252500,1.61,1472737000000
000660,SK하이닉스,1724500,2.04,2409013000000
402340,SK스퀘어,1003000,0.3,176870000000
009150,삼성전기,1344000,2.05,250212000000
373220,LG에너지솔루션,370500,1.37,67553000000
005380,현대차,362000,-1.36,100481000000
207940,삼성바이오로직스,1401000,-0.78,24008000000
105560,KB금융,176600,0.46,112394000000
028260,삼성물산,352000,1.44,49367000000
032830,삼성생명,284000,-0.53,35553000000
012450,한화에어로스페이스,1057000,-0.56,57964000000
034020,두산에너빌리티,84100,-2.44,112190000000
055550,신한지주,111950,-0.22,47130000000
000270,기아,121300,-0.41,28749000000
329180,HD현대중공업,444500,-1.98,34910000000
006400,삼성SDI,547500,0.09,104416000000
068270,셀트리온,178200,0.39,21468000000
034730,SK,549000,-0.18,28498000000
086790,하나금융지주,137000,-0.44,41163000000
012330,현대모비스,383500,-2.79,64227000000
066570,LG전자,199300,-1.34,47995000000
035420,NAVER,201500,-2.18,43998000000
010120,LS ELECTRIC,197500,1.44,45007000000
000810,삼성화재,662000,0.15,18530000000
316140,우리금융지주,35900,-1.24,31322000000
298040,효성중공업,2813000,4.61,60300000000
005490,POSCO홀딩스,326500,-1.66,27072000000
267260,HD현대일렉트릭,711000,1.57,36352000000
042660,한화오션,81800,-0.73,18941000000
009540,HD한국조선해양,334000,-1.47,20843000000
010130,고려아연,1132000,-0.53,4645000000
096770,SK이노베이션,137600,-2.89,41471000000
000150,두산,1367000,6.05,56135000000
042700,한미반도체,221000,-0.67,56075000000
015760,한국전력,31000,-1.12,18581000000
011200,HMM,20450,-0.97,7480000000
051910,LG화학,272000,0.18,25979000000
017670,SK텔레콤,88000,0.0,34267000000
010140,삼성중공업,20300,-1.93,19843000000
033780,KT&G,172100,0.76,9843000000
267250,HD현대,219000,-2.67,14743000000
006800,미래에셋증권,31750,-0.94,12238000000
003550,LG,112600,-1.49,16068000000
018260,삼성에스디에스,217000,-1.59,12871000000
003670,포스코퓨처엠,187700,-0.85,34905000000
010950,S-Oil,145300,-2.29,18606000000
024110,기업은행,20250,-0.49,5764000000
