code,name,종가,등락률,거래대금,거래량
005930,삼성전자,252500,1.61,2362709000000,9405597
000660,SK하이닉스,1748000,3.43,3958188000000,2294612
402340,SK스퀘어,1011000,1.1,275198000000,274531
009150,삼성전기,1381000,4.86,521548000000,385939
373220,LG에너지솔루션,365500,0.0,100464000000,271903
005380,현대차,360500,-1.77,151881000000,420392
207940,삼성바이오로직스,1402000,-0.71,41376000000,29514
105560,KB금융,175300,-0.28,154925000000,881974
028260,삼성물산,351000,1.15,72630000000,207397
032830,삼성생명,283500,-0.7,56437000000,198460
012450,한화에어로스페이스,1047000,-1.51,87731000000,83193
034020,두산에너빌리티,83700,-2.9,156557000000,1855403
055550,신한지주,111400,-0.71,75313000000,674262
000270,기아,120100,-1.4,51845000000,428722
329180,HD현대중공업,440000,-2.98,59081000000,132414
006400,삼성SDI,540000,-1.28,149050000000,273267
068270,셀트리온,177000,-0.28,37686000000,212380
034730,SK,547000,-0.55,46572000000,85277
086790,하나금융지주,135800,-1.31,64251000000,470204
012330,현대모비스,381000,-3.42,101450000000,264572
066570,LG전자,199300,-1.34,63829000000,321004
035420,NAVER,201000,-2.43,89695000000,444859
010120,LS ELECTRIC,197900,1.64,69902000000,353924
000810,삼성화재,655000,-0.91,31499000000,47831
316140,우리금융지주,36100,-0.69,58818000000,1634620
298040,효성중공업,2791000,3.79,99041000000,35632
005490,POSCO홀딩스,325000,-2.11,42331000000,129086
267260,HD현대일렉트릭,703000,0.43,59046000000,83444
042660,한화오션,81300,-1.33,33677000000,412028
010130,고려아연,1128000,-0.88,10635000000,9406
009540,HD한국조선해양,330500,-2.51,45720000000,136888
096770,SK이노베이션,135900,-4.09,61621000000,444190
000150,두산,1382000,7.21,103522000000,76635
042700,한미반도체,225500,1.35,94758000000,430162
015760,한국전력,30800,-1.75,29392000000,947427
011200,HMM,20250,-1.94,13243000000,647679
051910,LG화학,269500,-0.74,40020000000,146274
017670,SK텔레콤,87900,-0.11,46320000000,528987
033780,KT&G,171200,0.23,17833000000,104152
010140,삼성중공업,20150,-2.66,38185000000,1875376
006800,미래에셋증권,31700,-1.09,19515000000,614663
003550,LG,112700,-1.4,24671000000,218988
267250,HD현대,216000,-4.0,25262000000,115171
003670,포스코퓨처엠,188100,-0.63,50298000000,265959
018260,삼성에스디에스,216500,-1.81,20157000000,93081
010950,S-Oil,143300,-3.63,34135000000,233489
024110,기업은행,20100,-1.23,12488000000,616713
086280,현대글로비스,199100,-2.64,29588000000,146816
035720,카카오,33450,-3.04,44192000000,1308273
079550,LIG디펜스앤에어로스페이스,663000,-1.19,19820000000,29716
