시각,code,name,알람가,점수,당일등락,30분,60분,최고,현재,유형,손익비,연속,VWAP위,코스닥,지지,저항,단골,상승비율,최저,청산알림,손절,목표1,목표2
20260916_1101,004310,현대약품,10420,96.2,2.96,-2.3,-0.48,0.0,-2.3,,,,,,,,,,-3.45,이탈,,,
20260916_1120,043260,성호전자,18680,86.4,11.12,-2.57,-2.3,0.0,-0.37,돌파,,,,,,,,,-0.59,,,,
20260916_1120,336260,두산퓨얼셀,51100,89.1,-0.97,0.98,-0.78,1.17,0.59,돌파,,,,,,,,,-0.39,,,,
20260916_1130,413630,씨피시스템,5010,110.6,11.33,3.59,-0.3,5.59,-7.29,돌파,,,,,,,,,-7.68,이탈,,,
20260916_1130,089030,테크윙,44800,93.0,1.59,0.89,0.45,1.67,1.67,돌파,,,,,,,,,1.0,,,,
20260916_1130,010170,대한광통신,15700,94.7,11.03,2.93,3.5,5.03,2.87,돌파,,,,,,,,,1.4,,,,
20260916_1139,050890,쏠리드,9320,97.1,6.51,-1.61,-2.15,0.0,-2.15,돌파,,,,,,,,,-2.68,이탈,,,
20260916_1158,0011A0,액스비스,13240,104.2,8.44,-3.85,-5.51,0.0,-5.59,돌파,,,,,,,,,-5.59,이탈,,,
20260916_1158,039030,이오테크닉스,463000,91.7,3.7,-0.22,-0.11,0.97,0.86,돌파,,,,,,,,,0.22,,,,
20260916_1217,046970,우리로,7630,99.9,7.31,-4.85,-2.88,0.0,-5.64,돌파,,,,,,,,,-5.64,이탈,,,
20260916_1236,032940,원익,10730,101.3,10.96,-5.5,-5.78,0.0,-5.22,돌파,,,,,,,,,-5.59,이탈,,,
20260916_1236,048410,현대바이오,6890,90.4,7.32,-1.02,-0.58,0.0,-1.6,돌파,,,,,,,,,-1.6,,,,
20260916_1245,126730,코칩,22800,101.2,5.8,2.41,2.41,2.41,-0.44,돌파,,,,,,,,,-1.1,이탈,,,
20260916_1304,033790,피노,8040,97.6,6.21,-1.74,-2.86,0.0,-3.73,돌파,4.6,,,,,,,,-3.73,,,,
20260916_1304,005690,파미셀,11260,92.7,3.68,0.71,2.22,3.2,2.66,돌파,9.9,,,,,,,,2.66,,,,
20260916_1314,046970,우리로,7260,77.3,2.11,0.41,-0.14,2.07,-0.83,눌림목,4.0,,,,,,,,-0.83,,,,
20260916_1314,032940,원익,10140,76.9,4.86,-0.39,-1.68,0.89,0.3,눌림목,3.0,,,,,,,,-0.1,,,,
20260916_1323,0011A0,액스비스,12610,98.4,3.28,0.32,-0.63,0.32,-0.87,눌림목,2.5,False,,,,,,,-0.87,,,,
20260916_1341,032940,원익,10110,80.8,4.55,-1.68,0.2,1.19,0.59,눌림목,3.2,False,False,-0.14,,,,,0.2,,,,
20260916_1341,033790,피노,7900,75.6,4.36,-1.14,-0.89,0.0,-2.03,눌림목,6.4,False,True,-0.14,,,,,-2.03,,,,
20260916_1341,001210,금호전기,11190,74.2,3.61,-1.39,-1.34,0.0,-1.25,눌림목,12.4,False,False,-0.14,,,,,-1.34,이탈,,,
20260916_1351,050890,쏠리드,9110,71.5,4.11,-0.33,-0.11,0.11,0.11,눌림목,2.2,False,False,-0.24,,,,,-0.44,,,,
20260917_0911,005690,파미셀,12420,86.8,6.79,-1.93,-2.82,0.0,-6.76,돌파,2.8,False,True,0.86,11570.0,14790.0,1.0,64.0,-6.84,nan이탈손절,,,
20260917_0921,067290,JW신약,3670,100.0,4.86,-2.72,-3.0,0.0,-3.0,돌파,4.3,False,False,0.61,3515.0,4335.0,0.0,62.0,-3.41,nan이탈,,,
20260917_0921,043260,성호전자,20850,96.4,12.34,7.43,6.47,9.11,3.6,돌파,6.7,False,True,0.61,18920.0,33800.0,1.0,62.0,-2.4,,,,
20260917_0921,354320,알멕,36950,87.6,5.87,-3.52,-2.03,5.95,3.92,돌파,2.1,False,True,0.61,34300.0,42500.0,0.0,62.0,-5.14,nan이탈,,,
20260917_0930,357580,아모센스,6760,100.0,4.97,2.22,2.07,6.8,1.78,돌파,2.9,False,True,0.26,6200.0,8400.0,0.0,57.0,-0.44,,,,
20260917_0949,006660,삼성공조,13500,96.5,9.31,-4.59,-4.89,0.0,-3.93,돌파,4.0,False,True,0.01,12838.0,16160.0,0.0,52.0,-4.89,nan이탈,,,
20260917_1008,138080,오이솔루션,27100,89.9,5.04,0.74,1.85,3.87,-0.37,눌림목,2.1,False,True,0.82,25500.0,30400.0,0.0,64.0,-1.11,nan이탈,,,
20260917_1017,347700,스피어,22850,99.3,12.29,0.66,0.22,5.91,3.94,돌파,1.9,True,True,0.69,21050.0,26350.0,0.0,64.0,-1.75,,,,
20260921_1008,006660,삼성공조,13400,89.3,1.82,-0.22,-1.12,0.0,-1.79,돌파,2.0,False,True,1.19,,,,54.0,,,,,
20260921_1018,158430,아톤,5820,100.0,3.01,-2.58,-3.44,0.0,-2.92,돌파,2.5,False,True,1.22,,,,55.0,,,,,
20260921_1046,122640,예스티,33050,100.0,12.22,-2.72,-1.82,0.0,-2.42,돌파,1.7,False,True,1.25,,,,51.0,,,,,
