code,name,market,종가,등락률,거래대금,시가총액
005930,삼성전자,KOSPI,270000,3.45,1746891000000,1578495224160000
000660,SK하이닉스,KOSPI,1873000,0.86,1419190000000,1368212199645000
0161M0,네오사피엔스,KOSDAQ,27250,172.5,319816000000,332881776250
009150,삼성전기,KOSPI,1409000,1.51,271857000000,105243417664000
017900,광전자,KOSPI,11350,7.89,145079000000,657661710050
010170,대한광통신,KOSDAQ,17770,-3.0,138887000000,2762980178200
067310,하나마이크론,KOSDAQ,44400,14.88,135010000000,2952194583600
402340,SK스퀘어,KOSPI,1112000,3.06,128560000000,146699485776000
036540,SFA반도체,KOSDAQ,10660,18.18,109439000000,1753146829980
386380,스카이랩스,KOSDAQ,23650,21.66,108932000000,443720756050
001820,삼화콘덴서,KOSPI,145000,0.28,102706000000,1507275000000
043260,성호전자,KOSDAQ,27100,1.12,84454000000,2044745080800
007660,이수페타시스,KOSPI,108100,4.24,69419000000,7935536573900
240810,원익IPS,KOSDAQ,127000,4.53,66761000000,6233655427000
272210,한화시스템,KOSPI,77000,-3.75,66075000000,14546792953000
232140,와이씨,KOSDAQ,14150,18.81,64960000000,1160941702500
475830,오름테라퓨틱,KOSDAQ,26850,-28.21,58798000000,584065794600
000500,가온전선,KOSPI,312500,-4.43,54919000000,9305502187500
006400,삼성SDI,KOSPI,537000,-0.74,52593000000,43274429610000
036930,주성엔지니어링,KOSDAQ,207500,0.97,51682000000,9644832607500
034020,두산에너빌리티,KOSPI,85300,0.47,50329000000,54639865753800
001440,대한전선,KOSPI,30100,-4.29,49859000000,5899377139600
041190,우리기술투자,KOSDAQ,6010,10.68,49084000000,479598000000
032820,우리기술,KOSDAQ,13900,0.22,47300000000,2401706106800
005380,현대차,KOSPI,360000,-1.37,46751000000,73712795760000
079550,LIG디펜스앤에어로스페이스,KOSPI,735000,-1.21,45371000000,16170000000000
000150,두산,KOSPI,1442000,-0.35,41897000000,23351510070000
047040,대우건설,KOSPI,18220,-3.65,39979000000,7486737164360
012450,한화에어로스페이스,KOSPI,1073000,-0.46,39832000000,55327529273000
218410,RFHIC,KOSDAQ,60700,1.0,39469000000,1613129329400
204270,제이앤티씨,KOSDAQ,25350,7.64,38903000000,1466458613100
030530,원익홀딩스,KOSDAQ,26800,2.88,35440000000,2069977890800
462860,더즌,KOSDAQ,3340,27.48,34404000000,239705464020
105560,KB금융,KOSPI,177100,1.26,33563000000,62815197691400
437730,삼현,KOSDAQ,53100,5.99,32903000000,1683671807700
096770,SK이노베이션,KOSPI,139000,1.76,32818000000,23498337532000
028050,삼성E&A,KOSPI,51100,-1.35,32578000000,10015600000000
373220,LG에너지솔루션,KOSPI,353500,-2.88,32070000000,82719000000000
003160,디아이,KOSPI,34950,11.31,29057000000,989085000000
035420,NAVER,KOSPI,198500,0.4,27790000000,30190732246500
217590,티엠씨,KOSPI,14800,1.72,26570000000,356594530000
042700,한미반도체,KOSPI,237000,0.42,25779000000,22588991400000
055550,신한지주,KOSPI,112400,2.09,25722000000,52766206863600
356680,엑스게이트,KOSDAQ,17860,1.65,24887000000,509786767120
298040,효성중공업,KOSPI,2926000,0.38,24747000000,27283627448000
032830,삼성생명,KOSPI,289500,2.12,24621000000,57900000000000
010060,OCI홀딩스,KOSPI,192600,-5.59,24558000000,3595886683200
011070,LG이노텍,KOSPI,521000,-2.07,24198000000,12330562747000
027360,아주IB투자,KOSDAQ,4035,4.4,23522000000,488821713210
332570,PS일렉트로닉스,KOSDAQ,9700,6.59,22831000000,445623849100
403870,HPSP,KOSDAQ,54500,1.11,22154000000,4485350000000
201490,미투온,KOSDAQ,4220,0.0,22090000000,138094123720
010120,LS ELECTRIC,KOSPI,206000,-2.6,21881000000,30900000000000
012330,현대모비스,KOSPI,372500,-1.72,21150000000,33458167912500
000990,DB하이텍,KOSPI,126500,0.32,20576000000,5503330382000
